,time_of_tweet,user,tweet,user_id
68,2022-06-30 06:00:03+00:00,BTCticker,One Bitcoin now worth $19989.663. Market Cap $381.422 Billion. Based on #coindesk BPI #bitcoin,1323280062
69,2022-06-30 04:11:33+00:00,newstrack_eng,Top Cryptocurrency prices today June 30 https://t.co/N7w1iQG7gn https://t.co/f4pE4t2QL0 #bitcoin #cryptocurrency #coindesk #dogecoin,1280086527284883456
70,2022-06-30 04:00:03+00:00,BTCticker,One Bitcoin now worth $20052.911. Market Cap $382.628 Billion. Based on #coindesk BPI #bitcoin,1323280062
71,2022-06-30 03:22:40+00:00,x3tko,Grayscale Sues SEC Over Bitcoin ETF Application Rejection #coindesk #bitcoin #crypto https://t.co/NICahmpzpD,340070780
72,2022-06-30 02:00:07+00:00,cryptokidauto,RT @BTCticker: One Bitcoin now worth $20001.041. Market Cap $381.636 Billion. Based on #coindesk BPI #bitcoin,1530242278861725697
73,2022-06-30 02:00:02+00:00,BTCticker,One Bitcoin now worth $20001.041. Market Cap $381.636 Billion. Based on #coindesk BPI #bitcoin,1323280062
74,2022-06-30 01:20:31+00:00,codedtrader,"Can the BEARS break the neckline? or
Can the BULLS hold the trendline?
Only time will tell and there is only one wa… https://t.co/iEcKi0s2ie",469277607
75,2022-06-30 00:00:03+00:00,BTCticker,One Bitcoin now worth $20089.547. Market Cap $383.323 Billion. Based on #coindesk BPI #bitcoin,1323280062
76,2022-06-29 22:00:03+00:00,BTCticker,One Bitcoin now worth $20274.037. Market Cap $386.842 Billion. Based on #coindesk BPI #bitcoin,1323280062
77,2022-06-29 20:00:03+00:00,BTCticker,One Bitcoin now worth $20190.923. Market Cap $385.255 Billion. Based on #coindesk BPI #bitcoin,1323280062
78,2022-06-29 19:00:01+00:00,crypcollectives,"Volatility can be attributed to an “immature market,” says Ollie Leech, learn editor at Coindesk, a cryptocurrency… https://t.co/ljTwet58YA",1516110332174868480
79,2022-06-29 18:15:21+00:00,sarbastshexa,RT @IneryBlockchain: 📹 Check out the highlight from the #Coindesk Video on our CEO @inery_naveen speaking about the dynamics of owner-contr…,2590859804
80,2022-06-29 18:12:29+00:00,AerialE19,RT @IneryBlockchain: 📹 Check out the highlight from the #Coindesk Video on our CEO @inery_naveen speaking about the dynamics of owner-contr…,1321357676
81,2022-06-29 18:00:02+00:00,BTCticker,One Bitcoin now worth $20044.795. Market Cap $382.465 Billion. Based on #coindesk BPI #bitcoin,1323280062
82,2022-06-29 16:34:15+00:00,mohamedyasso30,RT @IneryBlockchain: 📹 Check out the highlight from the #Coindesk Video on our CEO @inery_naveen speaking about the dynamics of owner-contr…,2304864205
83,2022-06-29 16:25:10+00:00,ghadanrahl,RT @IneryBlockchain: 📹 Check out the highlight from the #Coindesk Video on our CEO @inery_naveen speaking about the dynamics of owner-contr…,2520654540
84,2022-06-29 16:16:39+00:00,halkomil,RT @IneryBlockchain: 📹 Check out the highlight from the #Coindesk Video on our CEO @inery_naveen speaking about the dynamics of owner-contr…,2301050946
85,2022-06-29 16:04:36+00:00,kyi175,RT @IneryBlockchain: 📹 Check out the highlight from the #Coindesk Video on our CEO @inery_naveen speaking about the dynamics of owner-contr…,2414765972
86,2022-06-29 16:00:02+00:00,BTCticker,One Bitcoin now worth $20045.201. Market Cap $382.471 Billion. Based on #coindesk BPI #bitcoin,1323280062
87,2022-06-29 14:00:03+00:00,BTCticker,One Bitcoin now worth $20075.310. Market Cap $383.044 Billion. Based on #coindesk BPI #bitcoin,1323280062
88,2022-06-29 13:22:03+00:00,imsince1991,RT @IneryBlockchain: 📹 Check out the highlight from the #Coindesk Video on our CEO @inery_naveen speaking about the dynamics of owner-contr…,2842116147
89,2022-06-29 13:18:19+00:00,ali115471,RT @IneryBlockchain: 📹 Check out the highlight from the #Coindesk Video on our CEO @inery_naveen speaking about the dynamics of owner-contr…,2598003230
90,2022-06-29 13:00:32+00:00,minazim_8070,RT @IneryBlockchain: 📹 Check out the highlight from the #Coindesk Video on our CEO @inery_naveen speaking about the dynamics of owner-contr…,2800256875
91,2022-06-29 12:30:42+00:00,x3tko,Michael Saylor's MicroStrategy Purchased Another $10M of Bitcoin Over Past Two Months #coindesk #bitcoin #crypto https://t.co/9Yf46CdEh7,340070780
92,2022-06-29 12:00:03+00:00,BTCticker,One Bitcoin now worth $20078.983. Market Cap $383.113 Billion. Based on #coindesk BPI #bitcoin,1323280062
93,2022-06-29 11:48:53+00:00,javierehb,RT @BTCticker: One Bitcoin now worth $20053.038. Market Cap $382.614 Billion. Based on #coindesk BPI #bitcoin,106648537
94,2022-06-29 11:11:04+00:00,lawazya,RT @IneryBlockchain: 📹 Check out the highlight from the #Coindesk Video on our CEO @inery_naveen speaking about the dynamics of owner-contr…,1368902756845711368
95,2022-06-29 10:05:07+00:00,IhabSalman,#CoinDesk #Korea Reports #DoKwon’s #Terra Has $3.6 Billion in #UST and #USDT To Manipulate Prices or #LaunderMoney… https://t.co/JKlTIJu87n,579155773
96,2022-06-29 10:00:03+00:00,BTCticker,One Bitcoin now worth $20041.790. Market Cap $382.401 Billion. Based on #coindesk BPI #bitcoin,1323280062
97,2022-06-29 09:52:09+00:00,dhrumil2144,RT @IneryBlockchain: 📹 Check out the highlight from the #Coindesk Video on our CEO @inery_naveen speaking about the dynamics of owner-contr…,936265693699252224
98,2022-06-29 09:51:40+00:00,IneryBlockchain,📹 Check out the highlight from the #Coindesk Video on our CEO @inery_naveen speaking about the dynamics of owner-co… https://t.co/588rt270oK,1439886663660998659
99,2022-06-29 08:39:08+00:00,codedtrader,70% discount is a very reasonable offer.  #bitcoin #cryptocurrency #coindesk,469277607
100,2022-06-29 08:00:02+00:00,BTCticker,One Bitcoin now worth $20053.038. Market Cap $382.614 Billion. Based on #coindesk BPI #bitcoin,1323280062
101,2022-06-29 06:34:41+00:00,x3tko,First Mover Asia: Remember ICOs? You Would Have Made a Fortune if You HODLed; Bitcoin Slogs Toward $20K #coindesk... https://t.co/w97w9nF2a3,340070780
102,2022-06-29 06:00:02+00:00,BTCticker,One Bitcoin now worth $20148.783. Market Cap $384.440 Billion. Based on #coindesk BPI #bitcoin,1323280062
